date_time,WS_20_mean,WS_20_min,WS_20_max,WS_20_stdv,WD_20_mean,WD_20_min,WD_20_max,WD_20_stdv,Tair_mean,Pbaro_mean,WD_20_mean_rad,WD_20_max_rad,WD_20_min_rad,WD_20_stdv_rad,year,month
2019-08-27 03:10:00,-0.14212195799086735,-0.07863580000000127,-0.21238282009132697,-0.01711679086757975,307.92,291.22,325.22,5.863,-0.31531463051933306,0.28195205479457286,0.3364581191472216,0.3254471626911837,0.3361861570020605,-0.004736658142262917,2019,8
2019-08-27 04:10:00,-0.11035395799086736,-0.053819800000001264,-0.187558820091327,-0.03498879086757975,276.12,261.22,289.02,4.349,-0.3268146305193331,0.2719520547945763,0.2476557668057501,0.22435769241567202,0.2524103529063328,-0.00896454372229398,2019,8
2019-08-27 05:10:00,-0.10786595799086733,-0.004171800000001298,-0.187558820091327,-0.03955679086757975,284.92,271.62,297.72,4.41,-0.30831463051933305,0.27695205479457174,0.2722300026738303,0.24865267560343327,0.28145263165951834,-0.008794199587299335,2019,8
2019-08-27 06:10:00,-0.05474595799086735,-0.053819800000001264,0.011025179908672982,0.003539209132420256,255.12,232.12,296.72,8.78,-0.3068146305193331,0.30195205479457177,0.18901270393874073,0.24586014880024223,0.17114782293347675,0.003409142542645016,2019,8
2019-08-27 07:10:00,-0.14261795799086735,-0.004171800000001298,-0.23720682009132701,-0.044620790867579745,258.62,249.12,267.92,3.3280000000000003,-0.30781463051933305,0.3219520547945763,0.19878654774990892,0.16543537686834356,0.21862077858772253,-0.011815713588351918,2019,8
2019-08-27 08:10:00,0.062414042009132656,0.020652199999998757,0.08548917990867295,0.010339209132420254,250.32,235.42,271.52,5.8679999999999986,-0.3223146305193331,0.35195205479457176,0.17560857528342425,0.17548847335983084,0.18036316138400665,-0.004722695508246968,2019,8
2019-08-27 09:10:00,-0.16059395799086737,-0.1531078000000013,-0.21238282009132697,-0.0022207908675797496,270.42,254.02,283.22,4.7810000000000015,-0.3268146305193331,0.36695205479457516,0.23173836402756195,0.20816103695716479,0.23230415992335793,-0.0077581721433154964,2019,8
2019-08-27 10:10:00,-0.08155395799086733,-0.1034598000000013,-0.06344682009132697,0.004875209132420251,266.82,241.92,287.52,7.316,-0.25681463051933306,0.37195205479457627,0.22168526753607454,0.2201689022108856,0.1985145856047477,-0.0006791166972265028,2019,8
2019-08-27 11:10:00,-0.12573795799086732,-0.1034598000000013,-0.06344682009132697,0.0005072091324202522,255.52,233.12,277.22,8.12,-0.2863146305193331,0.3769520547945717,0.19012971466001716,0.19140587613801913,0.17394034973666764,0.0015660748525390034,2019,8
2019-08-27 12:10:00,0.22575004200913262,0.09511619999999874,0.3833691799086731,0.06847520913242025,263.02,238.92,287.02,8.62,-0.18631463051933306,0.37195205479457627,0.21107366568394895,0.2187726388092902,0.19013700519517499,0.0029623382541344645,2019,8
2019-08-27 13:10:00,0.13241404200913273,0.04547619999999874,0.15996117990867306,0.015547209132420248,262.02,236.82,293.62,10.91,-0.17531463051933313,0.35695205479457287,0.20828113888075805,0.23720331571035033,0.18427269890847398,0.009357224633441694,2019,8
2019-08-27 14:10:00,0.16369404200913273,-0.004171800000001298,0.234425179908673,0.04081920913242026,248.12,222.72,271.82,8.87,-0.18581463051933308,0.32695205479457173,0.16946501631640432,0.17632623140078807,0.144898070983482,0.0036604699549321975,2019,8
2019-08-27 15:10:00,0.1423420420091326,0.09511619999999874,0.13513717990867308,0.011427209132420258,241.02,217.92,266.82,8.89,-0.18581463051933308,0.32695205479457173,0.14963807601374868,0.16236359738483344,0.13149394232816547,0.003716320490996021,2019,8
2019-08-27 16:10:00,-0.07311395799086733,-0.07863580000000127,-0.013798820091327003,0.008851209132420258,280.72,257.82,314.92,9.51,-0.2743146305193331,0.34195205479457513,0.26050139010042855,0.29668413661831705,0.24291576177548352,0.005447687108974395,2019,8
2019-08-27 17:10:00,-0.024465957990867367,-0.028995800000001282,0.035849179908672965,0.019419209132420266,246.02,220.22,273.12,11.51,-0.1898146305193331,0.35195205479457176,0.1636007100297033,0.17995651624493633,0.13791675397550462,0.01103274071535625,2019,8
2019-08-27 18:10:00,-0.019497957990867364,-0.028995800000001282,-0.03862282009132699,-0.01761279086757975,251.62,240.72,268.72,4.646,-0.20081463051933313,0.36695205479457516,0.1792388601275725,0.1676693983108963,0.19516355344091862,-0.008135163261746275,2019,8
2019-08-27 19:10:00,-0.07956995799086734,0.04547619999999874,-0.162734820091327,-0.04705279086757974,268.42,258.42,275.22,3.198,-0.2303146305193331,0.3769520547945717,0.22615331042118,0.18582082253163734,0.2445912778573981,-0.012178742072766738,2019,8
2019-08-27 20:10:00,-0.06567395799086732,0.04547619999999874,-0.162734820091327,-0.04367679086757975,252.72,240.82,267.32,4.7,-0.22431463051933306,0.3969520547945763,0.1823106396110825,0.16375986078642882,0.1954428061212377,-0.007984366814373964,2019,8
2019-08-27 21:10:00,-0.17603395799086735,-0.1034598000000013,-0.162734820091327,-0.002572790867579746,273.52,234.82,309.92,19.11,-0.31981463051933307,0.4219520547945763,0.24039519711745372,0.28272150260236245,0.1786876453020922,0.0322559444196073,2019,8
2019-08-27 22:10:00,-0.31439395799086733,-0.17793180000000128,-0.410966820091327,-0.05052479086757975,272.42,251.82,290.72,10.43,-0.26731463051933313,0.42695205479457177,0.23732341763394388,0.2291049879810967,0.22616060095633786,0.008016811767910043,2019,8
2019-08-27 23:10:00,-0.22850595799086734,-0.1531078000000013,-0.286854820091327,-0.005052790867579748,290.72,266.12,308.12,9.9,-0.29531463051933304,0.42695205479457177,0.2884266581323378,0.2776949543566187,0.2660937342419682,0.00653677256221886,2019,8
2019-08-28 00:10:00,-0.012545957990867366,-0.028995800000001282,0.13513717990867308,0.06454720913242025,249.92,226.32,265.22,6.505,-0.2898146305193331,0.4219520547945763,0.17449156456214782,0.15789555449972809,0.15495116747496937,-0.0029438559346143434,2019,8
2019-08-28 01:10:00,-0.09496195799086735,0.020652199999998757,-0.162734820091327,-0.04407679086757975,258.32,249.52,267.22,2.908,-0.29081463051933304,0.40195205479457174,0.1979487897089517,0.1634806081061099,0.21973778930899884,-0.012988574845692108,2019,8
2019-08-28 02:10:00,-0.10092195799086745,-0.004171800000001298,-0.21238282009132697,-0.053900790867579755,262.92,250.22,270.62,1.91,-0.28281463051933303,0.3969520547945763,0.21079441300363003,0.172975199236959,0.2216925580712325,-0.01577551659527665,2019,8
2019-08-28 03:10:00,-0.1292179579908673,0.04547619999999874,-0.262030820091327,-0.058220790867579746,266.82,258.32,271.12,1.959,-0.29881463051933305,0.3819520547945729,0.22168526753607454,0.17437146263855455,0.24431202517707903,-0.015638682781920297,2019,8
2019-08-28 04:10:00,-0.25184195799086734,-0.12828380000000128,-0.386142820091327,-0.056140790867579754,281.92,275.22,291.62,2.094,-0.3088146305193331,0.3819520547945729,0.2638524222642576,0.2316182621039684,0.2915057281510057,-0.015261691663489523,2019,8
2019-08-28 05:10:00,-0.08453795799086734,0.04547619999999874,-0.21238282009132697,-0.054252790867579746,262.62,254.22,268.92,2.241,-0.30031463051933316,0.3769520547945717,0.20995665496267266,0.16822790367153445,0.23286266528399624,-0.014851190223420456,2019,8
2019-08-28 06:10:00,-0.06516995799086736,0.07030019999999873,-0.21238282009132697,-0.05261279086757975,261.22,256.72,266.02,1.116,-0.2853146305193331,0.3919520547945752,0.20604711743820545,0.1601295759422807,0.23984398229197354,-0.017992782877010248,2019,8
2019-08-28 07:10:00,-0.18417795799086734,-0.1034598000000013,-0.262030820091327,-0.046404790867579745,272.52,258.12,281.92,4.495,-0.32431463051933307,0.41195205479457403,0.23760267031426283,0.20453075211301652,0.2437535198164409,-0.008556834809028104,2019,8
2019-08-28 08:10:00,-0.24141795799086738,-0.1034598000000013,-0.361318820091327,-0.04799679086757974,271.52,262.22,279.82,2.042,-0.2808146305193331,0.4319520547945729,0.2348101435110719,0.1986664458263155,0.25520287970952366,-0.01540690305725545,2019,8
2019-08-28 09:10:00,-0.20328995799086735,-0.1034598000000013,-0.311670820091327,-0.038612790867579745,260.92,237.12,276.22,6.607,-0.27981463051933314,0.4469520547945763,0.20520935939724808,0.18861334933482823,0.18511045694943135,-0.0026590182006888674,2019,8
2019-08-28 10:10:00,-0.20502595799086734,-0.17793180000000128,-0.162734820091327,0.0038352091324202497,254.82,224.82,303.02,18.54,-0.22081463051933303,0.4569520547945729,0.1881749458977835,0.263453067660345,0.15076237727018288,0.030664204141788463,2019,8
